0,18643.54,18643.54
1,10438.75,10438.75
2,5795.447,5795.447
3,4148.658,4148.658
4,3353.396,3353.396
5,2844.288,2844.288
6,2456.910,2456.910
7,2174.482,2174.482
8,1939.149,1939.149
9,1753.231,1753.231
10,1545.705,1545.705
11,1268.481,1268.481
12,992.0698,992.0698
13,823.2568,823.2568
14,725.4828,725.4828
15,657.3519,657.3519
16,615.0124,615.0124
17,579.2220,579.2220
18,556.4113,556.4113
19,534.5715,534.5715
20,520.9048,520.9048
21,512.2958,512.2958
22,506.2236,506.2236
23,495.9682,495.9682
24,492.5380,492.5380
25,486.5361,486.5361
26,481.5393,481.5393
27,476.3441,476.3441
28,475.3997,475.3997
29,469.6268,469.6268
30,467.1149,467.1149
31,465.6357,465.6357
32,463.2978,463.2978
33,461.7632,461.7632
34,460.2721,460.2721
35,458.2737,458.2737
36,457.4096,457.4096
37,456.8461,456.8461
38,456.4076,456.4076
