
                  X           centreline probe

                0.               -28.7242E-03 
                2.28             -28.8219E-03 
                4.56             -28.9161E-03 
                6.84             -29.0075E-03 
                9.12             -29.0965E-03 
               11.4              -29.1834E-03 
               13.68             -29.2687E-03 
               15.96             -29.3527E-03 
               18.24             -29.4357E-03 
               20.52             -29.5181E-03 
               22.8              -29.6002E-03 
               25.08             -29.6823E-03 
               27.36             -29.7647E-03 
               29.64             -29.8476E-03 
               31.92             -29.9314E-03 
               34.2              -30.0162E-03 
               36.48             -30.1024E-03 
               38.76             -30.1903E-03 
               41.04             -30.2801E-03 
               43.32             -30.372E-03  
               45.6              -30.4663E-03 
               47.88             -30.5635E-03 
               50.16             -30.6636E-03 
               52.44             -30.7669E-03 
               54.72             -30.8739E-03 
               57.               -30.9849E-03 
               59.28             -31.1003E-03 
               61.56             -31.2203E-03 
               63.84             -31.3453E-03 
               66.12             -31.4761E-03 
               68.4              -31.6131E-03 
               70.68             -31.7566E-03 
               72.96             -31.9075E-03 
               75.24             -32.0663E-03 
               77.52             -32.2339E-03 
               79.8              -32.4115E-03 
               82.08             -32.5991E-03 
               84.36             -32.7992E-03 
               86.64             -33.0128E-03 
               88.92             -33.2413E-03 
               91.2              -33.4873E-03 
               93.48             -33.7525E-03 
               95.76             -34.0403E-03 
               98.04             -34.353E-03  
              100.32             -34.6965E-03 
              102.6              -35.0688E-03 
              104.88             -35.4802E-03 
              107.16             -35.9293E-03 
              109.44             -36.3273E-03 
              127.68             -36.3281E-03 
              129.96             -35.9496E-03 
              132.24             -35.5126E-03 
              134.52             -35.1125E-03 
              136.8              -34.7463E-03 
              139.08             -34.4149E-03 
              141.36             -34.1133E-03 
              143.64             -33.8367E-03 
              145.92             -33.5807E-03 
              148.2              -33.345E-03  
              150.48             -33.1259E-03 
              152.76             -32.9213E-03 
              155.04             -32.7298E-03 
              157.32             -32.5508E-03 
              159.6              -32.3814E-03 
              161.88             -32.222E-03  
              164.16             -32.0712E-03 
              166.44             -31.9279E-03 
              168.72             -31.7918E-03 
              171.               -31.662E-03  
              173.28             -31.538E-03  
              175.56             -31.4196E-03 
              177.84             -31.3055E-03 
              180.12             -31.1961E-03 
              182.4              -31.0905E-03 
              184.68             -30.9886E-03 
              186.96             -30.8899E-03 
              189.24             -30.7941E-03 
              191.52             -30.7007E-03 
              193.8              -30.6096E-03 
              196.08             -30.5204E-03 
              198.36             -30.4328E-03 
              200.64             -30.3465E-03 
              202.92             -30.2611E-03 
              205.2              -30.1763E-03 
              207.48             -30.0918E-03 
              209.76             -30.0072E-03 
              212.04             -29.9223E-03 
              214.32             -29.8366E-03 
              216.6              -29.7498E-03 
              218.88             -29.6614E-03 
              221.16             -29.571E-03  
              223.44             -29.4781E-03 
              225.72             -29.3823E-03 
              228.               -29.283E-03  




