
                  X           centreline probe

                0.               -28.6368E-03 
                2.28             -28.7333E-03 
                4.56             -28.8282E-03 
                6.84             -28.9215E-03 
                9.12             -29.0132E-03 
               11.4              -29.1034E-03 
               13.68             -29.1919E-03 
               15.96             -29.2795E-03 
               18.24             -29.3662E-03 
               20.52             -29.4515E-03 
               22.8              -29.5345E-03 
               25.08             -29.617E-03  
               27.36             -29.6991E-03 
               29.64             -29.7807E-03 
               31.92             -29.8618E-03 
               34.2              -29.9429E-03 
               36.48             -30.0259E-03 
               38.76             -30.1112E-03 
               41.04             -30.1988E-03 
               43.32             -30.2886E-03 
               45.6              -30.3806E-03 
               47.88             -30.4766E-03 
               50.16             -30.5777E-03 
               52.44             -30.6832E-03 
               54.72             -30.7931E-03 
               57.               -30.9094E-03 
               59.28             -31.0279E-03 
               61.56             -31.1486E-03 
               63.84             -31.2749E-03 
               66.12             -31.4044E-03 
               68.4              -31.5381E-03 
               70.68             -31.677E-03  
               72.96             -31.8227E-03 
               75.24             -31.98E-03   
               77.52             -32.1481E-03 
               79.8              -32.327E-03  
               82.08             -32.5169E-03 
               84.36             -32.7191E-03 
               86.64             -32.9349E-03 
               88.92             -33.1655E-03 
               91.2              -33.4083E-03 
               93.48             -33.6793E-03 
               95.76             -33.98E-03   
               98.04             -34.2957E-03 
              100.32             -34.6308E-03 
              102.6              -34.9949E-03 
              104.88             -35.4117E-03 
              107.16             -35.8219E-03 
              109.44             -36.1995E-03 
              127.68             -36.2004E-03 
              129.96             -35.8343E-03 
              132.24             -35.4205E-03 
              134.52             -35.0349E-03 
              136.8              -34.6823E-03 
              139.08             -34.3594E-03 
              141.36             -34.0585E-03 
              143.64             -33.7727E-03 
              145.92             -33.5015E-03 
              148.2              -33.2605E-03 
              150.48             -33.0415E-03 
              152.76             -32.8355E-03 
              155.04             -32.6425E-03 
              157.32             -32.455E-03  
              159.6              -32.2806E-03 
              161.88             -32.124E-03  
              164.16             -31.9846E-03 
              166.44             -31.8511E-03 
              168.72             -31.7207E-03 
              171.               -31.5936E-03 
              173.28             -31.4696E-03 
              175.56             -31.3498E-03 
              177.84             -31.2339E-03 
              180.12             -31.1219E-03 
              182.4              -31.0136E-03 
              184.68             -30.9091E-03 
              186.96             -30.8086E-03 
              189.24             -30.7129E-03 
              191.52             -30.6218E-03 
              193.8              -30.5347E-03 
              196.08             -30.448E-03  
              198.36             -30.3616E-03 
              200.64             -30.2757E-03 
              202.92             -30.1903E-03 
              205.2              -30.1054E-03 
              207.48             -30.0211E-03 
              209.76             -29.9368E-03 
              212.04             -29.8457E-03 
              214.32             -29.7538E-03 
              216.6              -29.6616E-03 
              218.88             -29.5693E-03 
              221.16             -29.4762E-03 
              223.44             -29.3823E-03 
              225.72             -29.2876E-03 
              228.               -29.192E-03  




