ITERATION, OBJECTIVE-1, OBJ_FUNC_DRESP:D-RESPONSE-2, OBJ_FUNC_TERM:D-RESPONSE-2, OPT-CONSTRAINT-1:LE:D-RESPONSE-1
Norm-Values:, 2.2588701e+3, 2.2588701e+3, 2.2588701e+3, 4.0192250e-4
0, 2.2588701e+3, 2.2588701e+3, 2.2588701e+3, 4.0192259e-4
1, 2.7682263e+5, 2.7682263e+5, 2.7682263e+5, 1.4137304e-4
2, 2.7767784e+5, 2.7767784e+5, 2.7767784e+5, 1.3322860e-4
3, 2.7767806e+5, 2.7767806e+5, 2.7767806e+5, 1.3310520e-4
4, 2.7767806e+5, 2.7767806e+5, 2.7767806e+5, 1.3310519e-4
