ITERATION, [OBJ_FUNC]OBJECTIVE-1, [OBJ]OBJ_FUNC_DRESP:D-RESPONSE-2, [OBJ]OBJ_FUNC_TERM:D-RESPONSE-2, [CON]OPT-CONSTRAINT-1:LE:D-RESPONSE-1, [VAR]D-RESPONSE-1, [VAR]D-RESPONSE-2, [VAR]AV_CONV_SET-8_ELEM, [VAR]AV_CHG_OBJF_SET-8_ELEM, [VAR]AV_CHG_DV_SET-8_ELEM, [VAR]AV_CONV_TRUE_SET-8_ELEM
Norm-Values:, 2.2588701e+3, 2.2588701e+3, 2.2588701e+3, 4.0192250e-4, 2.0096125e-3, 2.2588701e+3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 2.2588701e+3, 2.2588701e+3, 2.2588701e+3, 4.0192259e-4, 4.0192259e-4, 2.2588701e+3, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 2.7682263e+5, 2.7682263e+5, 2.7682263e+5, 1.4137304e-4, 1.4137304e-4, 2.7682263e+5, 0.0000000, 9.9184000e-1, 1.3902079e-1, 9.9000001e-1
2, 2.7767784e+5, 2.7767784e+5, 2.7767784e+5, 1.3322860e-4, 1.3322860e-4, 2.7767784e+5, 0.0000000, 3.0798956e-3, 3.9964528e-3, 9.9000001e-1
3, 2.7767806e+5, 2.7767806e+5, 2.7767806e+5, 1.3310520e-4, 1.3310520e-4, 2.7767806e+5, 0.0000000, 7.8778277e-7, 9.3721421e-5, 9.9000001e-1
4, 2.7767806e+5, 2.7767806e+5, 2.7767806e+5, 1.3310519e-4, 1.3310519e-4, 2.7767806e+5, 1.0000000, 0.0000000, 9.1411536e-8, 9.9000001e-1
