
                  X           centreline probe

                0.               -28.7104E-03 
                2.28             -28.8076E-03 
                4.56             -28.9019E-03 
                6.84             -28.9933E-03 
                9.12             -29.082E-03  
               11.4              -29.1687E-03 
               13.68             -29.2541E-03 
               15.96             -29.3381E-03 
               18.24             -29.4212E-03 
               20.52             -29.5033E-03 
               22.8              -29.5853E-03 
               25.08             -29.6676E-03 
               27.36             -29.7501E-03 
               29.64             -29.8331E-03 
               31.92             -29.9167E-03 
               34.2              -30.0016E-03 
               36.48             -30.088E-03  
               38.76             -30.1759E-03 
               41.04             -30.2655E-03 
               43.32             -30.3572E-03 
               45.6              -30.4515E-03 
               47.88             -30.5485E-03 
               50.16             -30.6485E-03 
               52.44             -30.752E-03  
               54.72             -30.8593E-03 
               57.               -30.9704E-03 
               59.28             -31.0857E-03 
               61.56             -31.2055E-03 
               63.84             -31.3303E-03 
               66.12             -31.4606E-03 
               68.4              -31.5975E-03 
               70.68             -31.7408E-03 
               72.96             -31.8922E-03 
               75.24             -32.0511E-03 
               77.52             -32.2186E-03 
               79.8              -32.3974E-03 
               82.08             -32.5848E-03 
               84.36             -32.7852E-03 
               86.64             -32.9931E-03 
               88.92             -33.2147E-03 
               91.2              -33.4643E-03 
               93.48             -33.7332E-03 
               95.76             -34.0225E-03 
               98.04             -34.3376E-03 
              100.32             -34.6873E-03 
              102.6              -35.0638E-03 
              104.88             -35.4745E-03 
              107.16             -35.9213E-03 
              109.44             -36.2878E-03 
              127.68             -36.2905E-03 
              129.96             -35.9237E-03 
              132.24             -35.5042E-03 
              134.52             -35.1036E-03 
              136.8              -34.734E-03  
              139.08             -34.4023E-03 
              141.36             -34.0996E-03 
              143.64             -33.8242E-03 
              145.92             -33.5674E-03 
              148.2              -33.3307E-03 
              150.48             -33.1106E-03 
              152.76             -32.9054E-03 
              155.04             -32.7133E-03 
              157.32             -32.5357E-03 
              159.6              -32.3674E-03 
              161.88             -32.2079E-03 
              164.16             -32.057E-03  
              166.44             -31.9142E-03 
              168.72             -31.7777E-03 
              171.               -31.6478E-03 
              173.28             -31.5236E-03 
              175.56             -31.4046E-03 
              177.84             -31.2911E-03 
              180.12             -31.1816E-03 
              182.4              -31.0761E-03 
              184.68             -30.974E-03  
              186.96             -30.8753E-03 
              189.24             -30.7798E-03 
              191.52             -30.6864E-03 
              193.8              -30.5952E-03 
              196.08             -30.506E-03  
              198.36             -30.4183E-03 
              200.64             -30.3321E-03 
              202.92             -30.2466E-03 
              205.2              -30.1618E-03 
              207.48             -30.0775E-03 
              209.76             -29.9929E-03 
              212.04             -29.908E-03  
              214.32             -29.8224E-03 
              216.6              -29.7355E-03 
              218.88             -29.6471E-03 
              221.16             -29.557E-03  
              223.44             -29.4642E-03 
              225.72             -29.3684E-03 
              228.               -29.2695E-03 




