
                  X           centreline probe

                0.               -28.7046E-03 
                2.28             -28.8023E-03 
                4.56             -28.8967E-03 
                6.84             -28.9881E-03 
                9.12             -29.077E-03  
               11.4              -29.164E-03  
               13.68             -29.2492E-03 
               15.96             -29.3331E-03 
               18.24             -29.4161E-03 
               20.52             -29.4986E-03 
               22.8              -29.5806E-03 
               25.08             -29.6627E-03 
               27.36             -29.745E-03  
               29.64             -29.8279E-03 
               31.92             -29.9116E-03 
               34.2              -29.9965E-03 
               36.48             -30.0827E-03 
               38.76             -30.1704E-03 
               41.04             -30.2602E-03 
               43.32             -30.3521E-03 
               45.6              -30.4463E-03 
               47.88             -30.5435E-03 
               50.16             -30.6436E-03 
               52.44             -30.747E-03  
               54.72             -30.854E-03  
               57.               -30.9647E-03 
               59.28             -31.0799E-03 
               61.56             -31.2002E-03 
               63.84             -31.3256E-03 
               66.12             -31.4567E-03 
               68.4              -31.5934E-03 
               70.68             -31.7363E-03 
               72.96             -31.8873E-03 
               75.24             -32.046E-03  
               77.52             -32.2136E-03 
               79.8              -32.3908E-03 
               82.08             -32.5787E-03 
               84.36             -32.7779E-03 
               86.64             -32.9926E-03 
               88.92             -33.2208E-03 
               91.2              -33.465E-03  
               93.48             -33.7303E-03 
               95.76             -34.018E-03  
               98.04             -34.3298E-03 
              100.32             -34.6717E-03 
              102.6              -35.0507E-03 
              104.88             -35.4702E-03 
              107.16             -35.9028E-03 
              109.44             -36.2907E-03 
              127.68             -36.2823E-03 
              129.96             -35.9126E-03 
              132.24             -35.5071E-03 
              134.52             -35.0936E-03 
              136.8              -34.7285E-03 
              139.08             -34.401E-03  
              141.36             -34.097E-03  
              143.64             -33.8195E-03 
              145.92             -33.5626E-03 
              148.2              -33.3221E-03 
              150.48             -33.1081E-03 
              152.76             -32.9031E-03 
              155.04             -32.7125E-03 
              157.32             -32.5328E-03 
              159.6              -32.3633E-03 
              161.88             -32.2032E-03 
              164.16             -32.0523E-03 
              166.44             -31.9095E-03 
              168.72             -31.7737E-03 
              171.               -31.6442E-03 
              173.28             -31.5201E-03 
              175.56             -31.4011E-03 
              177.84             -31.2869E-03 
              180.12             -31.1775E-03 
              182.4              -31.0722E-03 
              184.68             -30.9704E-03 
              186.96             -30.8716E-03 
              189.24             -30.7757E-03 
              191.52             -30.6824E-03 
              193.8              -30.5913E-03 
              196.08             -30.5021E-03 
              198.36             -30.4145E-03 
              200.64             -30.3282E-03 
              202.92             -30.2428E-03 
              205.2              -30.1579E-03 
              207.48             -30.0736E-03 
              209.76             -29.989E-03  
              212.04             -29.9041E-03 
              214.32             -29.8184E-03 
              216.6              -29.7317E-03 
              218.88             -29.6432E-03 
              221.16             -29.5527E-03 
              223.44             -29.46E-03   
              225.72             -29.364E-03  
              228.               -29.2647E-03 




