
                  X           centreline probe

                0.               -28.6874E-03 
                2.28             -28.7848E-03 
                4.56             -28.8794E-03 
                6.84             -28.9713E-03 
                9.12             -29.0606E-03 
               11.4              -29.148E-03  
               13.68             -29.2336E-03 
               15.96             -29.3177E-03 
               18.24             -29.4005E-03 
               20.52             -29.4832E-03 
               22.8              -29.5644E-03 
               25.08             -29.6462E-03 
               27.36             -29.7291E-03 
               29.64             -29.813E-03  
               31.92             -29.8976E-03 
               34.2              -29.9827E-03 
               36.48             -30.0682E-03 
               38.76             -30.1545E-03 
               41.04             -30.2437E-03 
               43.32             -30.3357E-03 
               45.6              -30.4308E-03 
               47.88             -30.5284E-03 
               50.16             -30.6285E-03 
               52.44             -30.7308E-03 
               54.72             -30.837E-03  
               57.               -30.9479E-03 
               59.28             -31.0631E-03 
               61.56             -31.1834E-03 
               63.84             -31.3093E-03 
               66.12             -31.4405E-03 
               68.4              -31.5775E-03 
               70.68             -31.7224E-03 
               72.96             -31.8756E-03 
               75.24             -32.0374E-03 
               77.52             -32.2079E-03 
               79.8              -32.388E-03  
               82.08             -32.5769E-03 
               84.36             -32.765E-03  
               86.64             -32.9535E-03 
               88.92             -33.1644E-03 
               91.2              -33.4022E-03 
               93.48             -33.6867E-03 
               95.76             -33.9922E-03 
               98.04             -34.3106E-03 
              100.32             -34.6572E-03 
              102.6              -35.0455E-03 
              104.88             -35.4676E-03 
              107.16             -35.8831E-03 
              109.44             -36.2607E-03 
              127.68             -36.2618E-03 
              129.96             -35.9005E-03 
              132.24             -35.4793E-03 
              134.52             -35.0765E-03 
              136.8              -34.7262E-03 
              139.08             -34.4013E-03 
              141.36             -34.0947E-03 
              143.64             -33.808E-03  
              145.92             -33.5482E-03 
              148.2              -33.3122E-03 
              150.48             -33.0883E-03 
              152.76             -32.8838E-03 
              155.04             -32.6948E-03 
              157.32             -32.5153E-03 
              159.6              -32.3453E-03 
              161.88             -32.1848E-03 
              164.16             -32.0332E-03 
              166.44             -31.8896E-03 
              168.72             -31.752E-03  
              171.               -31.6228E-03 
              173.28             -31.4994E-03 
              175.56             -31.3809E-03 
              177.84             -31.2667E-03 
              180.12             -31.1568E-03 
              182.4              -31.0511E-03 
              184.68             -30.9501E-03 
              186.96             -30.8541E-03 
              189.24             -30.7607E-03 
              191.52             -30.6684E-03 
              193.8              -30.5771E-03 
              196.08             -30.4871E-03 
              198.36             -30.3984E-03 
              200.64             -30.3111E-03 
              202.92             -30.225E-03  
              205.2              -30.1401E-03 
              207.48             -30.0563E-03 
              209.76             -29.9725E-03 
              212.04             -29.8871E-03 
              214.32             -29.8001E-03 
              216.6              -29.7116E-03 
              218.88             -29.6215E-03 
              221.16             -29.5295E-03 
              223.44             -29.4355E-03 
              225.72             -29.3395E-03 
              228.               -29.2416E-03 




