ITERATION, OBJECTIVE-1, OBJ_FUNC_DRESP:D-RESPONSE-1, OBJ_FUNC_TERM:D-RESPONSE-1, OPT-CONSTRAINT-1:LE:D-RESPONSE-2
Norm-Values:, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192250e-4
0, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192163e-4
1, 6.6213544e+2, 6.6213544e+2, 6.6213544e+2, 3.6516777e-4
2, 6.6195514e+2, 6.6195514e+2, 6.6195514e+2, 3.4790981e-4
3, 6.9127399e+2, 6.9127399e+2, 6.9127399e+2, 3.1770079e-4
4, 5.7037683e+2, 5.7037683e+2, 5.7037683e+2, 3.4334828e-4
5, 4.2953360e+2, 4.2953360e+2, 4.2953360e+2, 3.5687129e-4
6, 4.2278485e+2, 4.2278485e+2, 4.2278485e+2, 3.7022453e-4
7, 3.8750113e+2, 3.8750113e+2, 3.8750113e+2, 3.7484444e-4
8, 3.0776996e+2, 3.0776996e+2, 3.0776996e+2, 3.7821615e-4
9, 2.7753381e+2, 2.7753381e+2, 2.7753381e+2, 3.8635026e-4
10, 2.8861032e+2, 2.8861032e+2, 2.8861032e+2, 3.8996042e-4
