ITERATION, [OBJ_FUNC]OBJECTIVE-1, [OBJ]OBJ_FUNC_DRESP:D-RESPONSE-1, [OBJ]OBJ_FUNC_TERM:D-RESPONSE-1, [CON]OPT-CONSTRAINT-1:LE:D-RESPONSE-2, [VAR]D-RESPONSE-1, [VAR]D-RESPONSE-2, [VAR]AV_CONV_SET-8_ELEM, [VAR]AV_CHG_OBJF_SET-8_ELEM, [VAR]AV_CHG_DV_SET-8_ELEM, [VAR]AV_CONV_TRUE_SET-8_ELEM
28, 1.5256673e+2, 1.5256673e+2, 1.5256673e+2, 3.9142463e-4, 1.5256673e+2, 3.9142463e-4, 0.0000000, 6.9938697e-2, 9.8305726e-3, 9.9000001e-1
29, 1.5033234e+2, 1.5033234e+2, 1.5033234e+2, 3.9062958e-4, 1.5033234e+2, 3.9062958e-4, 0.0000000, 1.4863005e-2, 7.9230890e-3, 9.9000001e-1
30, 1.1972540e+2, 1.1972540e+2, 1.1972540e+2, 3.9440178e-4, 1.1972540e+2, 3.9440178e-4, 0.0000000, 2.5564286e-1, 8.1874141e-3, 9.9000001e-1
31, 1.2491461e+2, 1.2491461e+2, 1.2491461e+2, 3.9553919e-4, 1.2491461e+2, 3.9553919e-4, 0.0000000, 4.1542109e-2, 6.3366694e-3, 9.9000001e-1
32, 1.5023979e+2, 1.5023979e+2, 1.5023979e+2, 3.9587048e-4, 1.5023979e+2, 3.9587048e-4, 0.0000000, 1.6856506e-1, 5.8434042e-3, 9.9000001e-1
33, 1.1082267e+2, 1.1082267e+2, 1.1082267e+2, 3.9686091e-4, 1.1082267e+2, 3.9686091e-4, 0.0000000, 3.5567743e-1, 6.3546551e-3, 9.9000001e-1
34, 1.1364986e+2, 1.1364986e+2, 1.1364986e+2, 3.9747191e-4, 1.1364986e+2, 3.9747191e-4, 0.0000000, 2.4876289e-2, 5.0983471e-3, 9.9000001e-1
35, 1.0852661e+2, 1.0852661e+2, 1.0852661e+2, 3.9665904e-4, 1.0852661e+2, 3.9665904e-4, 0.0000000, 4.7207274e-2, 5.3088232e-3, 9.9000001e-1
36, 1.1454918e+2, 1.1454918e+2, 1.1454918e+2, 3.9860440e-4, 1.1454918e+2, 3.9860440e-4, 0.0000000, 5.2576263e-2, 4.8913909e-3, 9.9000001e-1
37, 1.1509802e+2, 1.1509802e+2, 1.1509802e+2, 3.9864358e-4, 1.1509802e+2, 3.9864358e-4, 0.0000000, 4.7684866e-3, 4.2938618e-3, 9.9000001e-1
38, 1.0444812e+2, 1.0444812e+2, 1.0444812e+2, 3.9947234e-4, 1.0444812e+2, 3.9947234e-4, 0.0000000, 1.0196356e-1, 4.3062191e-3, 9.9000001e-1
39, 1.0157214e+2, 1.0157214e+2, 1.0157214e+2, 3.9956163e-4, 1.0157214e+2, 3.9956163e-4, 0.0000000, 2.8314697e-2, 4.0917518e-3, 9.9000001e-1
40, 9.2149124e+1, 9.2149124e+1, 9.2149124e+1, 3.9949137e-4, 9.2149124e+1, 3.9949137e-4, 0.0000000, 1.0225829e-1, 3.9389804e-3, 9.9000001e-1
41, 9.7187057e+1, 9.7187057e+1, 9.7187057e+1, 3.9998867e-4, 9.7187057e+1, 3.9998867e-4, 0.0000000, 5.1837493e-2, 3.5469220e-3, 9.9000001e-1
42, 8.2828888e+1, 8.2828888e+1, 8.2828888e+1, 4.0029568e-4, 8.2828888e+1, 4.0029568e-4, 0.0000000, 1.7334737e-1, 3.3633744e-3, 9.9000001e-1
43, 8.0696892e+1, 8.0696892e+1, 8.0696892e+1, 4.0072497e-4, 8.0696892e+1, 4.0072497e-4, 0.0000000, 2.6419805e-2, 3.3154890e-3, 9.9000001e-1
44, 1.0686910e+2, 1.0686910e+2, 1.0686910e+2, 4.0079831e-4, 1.0686910e+2, 4.0079831e-4, 0.0000000, 2.4489969e-1, 3.1569561e-3, 9.9000001e-1
45, 8.4363159e+1, 8.4363159e+1, 8.4363159e+1, 4.0047403e-4, 8.4363159e+1, 4.0047403e-4, 0.0000000, 2.6677454e-1, 3.5547549e-3, 9.9000001e-1
46, 9.3958992e+1, 9.3958992e+1, 9.3958992e+1, 4.0028527e-4, 9.3958992e+1, 4.0028527e-4, 0.0000000, 1.0212788e-1, 3.6127467e-3, 9.9000001e-1
47, 1.0848315e+2, 1.0848315e+2, 1.0848315e+2, 4.0007246e-4, 1.0848315e+2, 4.0007246e-4, 0.0000000, 1.3388403e-1, 3.5636665e-3, 9.9000001e-1
48, 9.3865891e+1, 9.3865891e+1, 9.3865891e+1, 3.9993305e-4, 9.3865891e+1, 3.9993305e-4, 0.0000000, 1.5572497e-1, 3.5731194e-3, 9.9000001e-1
49, 9.8885818e+1, 9.8885818e+1, 9.8885818e+1, 3.9997548e-4, 9.8885818e+1, 3.9997548e-4, 0.0000000, 5.0764892e-2, 3.7007602e-3, 9.9000001e-1
50, 9.4635574e+1, 9.4635574e+1, 9.4635574e+1, 3.9925301e-4, 9.4635574e+1, 3.9925301e-4, 0.0000000, 4.4911698e-2, 4.4928398e-3, 9.9000001e-1
