ITERATION, OBJECTIVE-1, OBJ_FUNC_DRESP:D-RESPONSE-2, OBJ_FUNC_TERM:D-RESPONSE-2, OPT-CONSTRAINT-1:LE:D-RESPONSE-1
Norm-Values:, 1.8643537e+4, 1.8643537e+4, 1.8643537e+4, 4.0192250e-4
0, 1.8643537e+4, 1.8643537e+4, 1.8643537e+4, 4.0192259e-4
